questionType,answer,expertID,QID,questionLabel
informedconset,I agree,2,0,Q0-1
probCat,0.01,2,1,QF1_1
probCat,0.05,2,2,QF1_2
probCat,0.1,2,3,QF1_3
probCat,0.25,2,4,QF1_4
probCat,0.3,2,5,QF1_5
probCat,0.15,2,6,QF1_6
probCat,0.14,2,7,QF1_7
probCat,0.01,2,8,QF2_1
probCat,0.05,2,9,QF2_2
probCat,0.15,2,10,QF2_3
probCat,0.25,2,11,QF2_4
probCat,0.3,2,12,QF2_5
probCat,0.2,2,13,QF2_6
probCat,0.04,2,14,QF2_7
probCat,0.1,2,15,QF3_1
probCat,0.15,2,16,QF3_2
probCat,0.25,2,17,QF3_3
probCat,0.3,2,18,QF3_4
probCat,0.2,2,19,QF3_5
probCat,0.2,2,20,QF4_1
probCat,0.35,2,21,QF4_2
probCat,0.2,2,22,QF4_3
probCat,0.15,2,23,QF4_4
probCat,0.1,2,24,QF4_5
triplet_low,100000,2,25,QF5_1
triplet_mode,250000,2,26,QF5_2
triplet_high,500000,2,27,QF5_3
informedconset,I agree,3,0,Q0-1
probCat,0.02,3,1,QF1_1
probCat,0.1,3,2,QF1_2
probCat,0.33,3,3,QF1_3
probCat,0.33,3,4,QF1_4
probCat,0.1,3,5,QF1_5
probCat,0.1,3,6,QF1_6
probCat,0.02,3,7,QF1_7
probCat,0.2,3,8,QF2_1
probCat,0.15,3,9,QF2_2
probCat,0.15,3,10,QF2_3
probCat,0.15,3,11,QF2_4
probCat,0.15,3,12,QF2_5
probCat,0.1,3,13,QF2_6
probCat,0.1,3,14,QF2_7
probCat,0.1,3,15,QF3_1
probCat,0.2,3,16,QF3_2
probCat,0.3,3,17,QF3_3
probCat,0.3,3,18,QF3_4
probCat,0.1,3,19,QF3_5
probCat,0.5,3,20,QF4_1
probCat,0.3,3,21,QF4_2
probCat,0.1,3,22,QF4_3
probCat,0.08,3,23,QF4_4
probCat,0.02,3,24,QF4_5
triplet_low,95000,3,25,QF5_1
triplet_mode,150000,3,26,QF5_2
triplet_high,350000,3,27,QF5_3
informedconset,I agree,4,0,Q0-1
probCat,0,4,1,QF1_1
probCat,0,4,2,QF1_2
probCat,0,4,3,QF1_3
probCat,0.1,4,4,QF1_4
probCat,0.3,4,5,QF1_5
probCat,0.4,4,6,QF1_6
probCat,0.2,4,7,QF1_7
probCat,0,4,8,QF2_1
probCat,0.2,4,9,QF2_2
probCat,0.2,4,10,QF2_3
probCat,0.3,4,11,QF2_4
probCat,0.2,4,12,QF2_5
probCat,0.1,4,13,QF2_6
probCat,0,4,14,QF2_7
probCat,0.1,4,15,QF3_1
probCat,0.3,4,16,QF3_2
probCat,0.3,4,17,QF3_3
probCat,0.2,4,18,QF3_4
probCat,0.1,4,19,QF3_5
probCat,0.3,4,20,QF4_1
probCat,0.4,4,21,QF4_2
probCat,0.2,4,22,QF4_3
probCat,0.1,4,23,QF4_4
probCat,0,4,24,QF4_5
triplet_low,100000,4,25,QF5_1
triplet_mode,150000,4,26,QF5_2
triplet_high,250000,4,27,QF5_3
informedconset,I agree,6,0,Q0-1
probCat,0,6,1,QF1_1
probCat,0,6,2,QF1_2
probCat,0,6,3,QF1_3
probCat,0,6,4,QF1_4
probCat,0.2,6,5,QF1_5
probCat,0.4,6,6,QF1_6
probCat,0.4,6,7,QF1_7
probCat,0,6,8,QF2_1
probCat,0,6,9,QF2_2
probCat,0,6,10,QF2_3
probCat,0.1,6,11,QF2_4
probCat,0.3,6,12,QF2_5
probCat,0.3,6,13,QF2_6
probCat,0.3,6,14,QF2_7
probCat,0,6,15,QF3_1
probCat,0.1,6,16,QF3_2
probCat,0.3,6,17,QF3_3
probCat,0.4,6,18,QF3_4
probCat,0.2,6,19,QF3_5
probCat,0.2,6,20,QF4_1
probCat,0.4,6,21,QF4_2
probCat,0.4,6,22,QF4_3
probCat,0,6,23,QF4_4
probCat,0,6,24,QF4_5
triplet_low,200000,6,25,QF5_1
triplet_mode,350000,6,26,QF5_2
triplet_high,600000,6,27,QF5_3
informedconset,I agree,9,0,Q0-1
probCat,0.1,9,1,QF1_1
probCat,0.2,9,2,QF1_2
probCat,0.2,9,3,QF1_3
probCat,0.2,9,4,QF1_4
probCat,0.15,9,5,QF1_5
probCat,0.1,9,6,QF1_6
probCat,0.05,9,7,QF1_7
probCat,0.05,9,8,QF2_1
probCat,0.1,9,9,QF2_2
probCat,0.2,9,10,QF2_3
probCat,0.3,9,11,QF2_4
probCat,0.2,9,12,QF2_5
probCat,0.1,9,13,QF2_6
probCat,0.05,9,14,QF2_7
probCat,0.05,9,15,QF3_1
probCat,0.3,9,16,QF3_2
probCat,0.35,9,17,QF3_3
probCat,0.25,9,18,QF3_4
probCat,0.05,9,19,QF3_5
probCat,0.5,9,20,QF4_1
probCat,0.35,9,21,QF4_2
probCat,0.1,9,22,QF4_3
probCat,0.04,9,23,QF4_4
probCat,0.01,9,24,QF4_5
triplet_low,120000,9,25,QF5_1
triplet_mode,750000,9,26,QF5_2
triplet_high,2500000,9,27,QF5_3
informedconset,I agree,11,0,Q0-1
probCat,0,11,1,QF1_1
probCat,0.02,11,2,QF1_2
probCat,0.45,11,3,QF1_3
probCat,0.45,11,4,QF1_4
probCat,0.08,11,5,QF1_5
probCat,0,11,6,QF1_6
probCat,0,11,7,QF1_7
probCat,0.3,11,8,QF2_1
probCat,0.2,11,9,QF2_2
probCat,0.1,11,10,QF2_3
probCat,0.1,11,11,QF2_4
probCat,0.1,11,12,QF2_5
probCat,0.1,11,13,QF2_6
probCat,0.1,11,14,QF2_7
probCat,0.05,11,15,QF3_1
probCat,0.1,11,16,QF3_2
probCat,0.7,11,17,QF3_3
probCat,0.1,11,18,QF3_4
probCat,0.05,11,19,QF3_5
probCat,0.05,11,20,QF4_1
probCat,0.2,11,21,QF4_2
probCat,0.6,11,22,QF4_3
probCat,0.1,11,23,QF4_4
probCat,0.05,11,24,QF4_5
triplet_low,100000,11,25,QF5_1
triplet_mode,250000,11,26,QF5_2
triplet_high,400000,11,27,QF5_3
informedconset,I agree,12,0,Q0-1
probCat,0.05,12,1,QF1_1
probCat,0.1,12,2,QF1_2
probCat,0.2,12,3,QF1_3
probCat,0.3,12,4,QF1_4
probCat,0.15,12,5,QF1_5
probCat,0.1,12,6,QF1_6
probCat,0.1,12,7,QF1_7
probCat,0.05,12,8,QF2_1
probCat,0.15,12,9,QF2_2
probCat,0.2,12,10,QF2_3
probCat,0.1,12,11,QF2_4
probCat,0.1,12,12,QF2_5
probCat,0.2,12,13,QF2_6
probCat,0.2,12,14,QF2_7
probCat,0,12,15,QF3_1
probCat,0.1,12,16,QF3_2
probCat,0.2,12,17,QF3_3
probCat,0.4,12,18,QF3_4
probCat,0.3,12,19,QF3_5
probCat,0.3,12,20,QF4_1
probCat,0.3,12,21,QF4_2
probCat,0.2,12,22,QF4_3
probCat,0.1,12,23,QF4_4
probCat,0.1,12,24,QF4_5
triplet_low,125000,12,25,QF5_1
triplet_mode,200000,12,26,QF5_2
triplet_high,400000,12,27,QF5_3
informedconset,I agree,13,0,Q0-1
probCat,0.01,13,1,QF1_1
probCat,0.3,13,2,QF1_2
probCat,0.4,13,3,QF1_3
probCat,0.17,13,4,QF1_4
probCat,0.09,13,5,QF1_5
probCat,0.03,13,6,QF1_6
probCat,0,13,7,QF1_7
probCat,0.4,13,8,QF2_1
probCat,0.1,13,9,QF2_2
probCat,0,13,10,QF2_3
probCat,0,13,11,QF2_4
probCat,0,13,12,QF2_5
probCat,0.1,13,13,QF2_6
probCat,0.4,13,14,QF2_7
probCat,0,13,15,QF3_1
probCat,0.1,13,16,QF3_2
probCat,0.2,13,17,QF3_3
probCat,0.3,13,18,QF3_4
probCat,0.4,13,19,QF3_5
probCat,0.1,13,20,QF4_1
probCat,0.25,13,21,QF4_2
probCat,0.3,13,22,QF4_3
probCat,0.25,13,23,QF4_4
probCat,0.1,13,24,QF4_5
triplet_low,75000,13,25,QF5_1
triplet_mode,200000,13,26,QF5_2
triplet_high,400000,13,27,QF5_3
informedconset,I agree,16,0,Q0-1
probCat,0,16,1,QF1_1
probCat,0,16,2,QF1_2
probCat,0.1,16,3,QF1_3
probCat,0.25,16,4,QF1_4
probCat,0.35,16,5,QF1_5
probCat,0.2,16,6,QF1_6
probCat,0.1,16,7,QF1_7
probCat,0.2,16,8,QF2_1
probCat,0.3,16,9,QF2_2
probCat,0.3,16,10,QF2_3
probCat,0.2,16,11,QF2_4
probCat,0,16,12,QF2_5
probCat,0,16,13,QF2_6
probCat,0,16,14,QF2_7
probCat,0,16,15,QF3_1
probCat,0.2,16,16,QF3_2
probCat,0.4,16,17,QF3_3
probCat,0.4,16,18,QF3_4
probCat,0,16,19,QF3_5
probCat,0.7,16,20,QF4_1
probCat,0.3,16,21,QF4_2
probCat,0,16,22,QF4_3
probCat,0,16,23,QF4_4
probCat,0,16,24,QF4_5
triplet_low,100000,16,25,QF5_1
triplet_mode,150000,16,26,QF5_2
triplet_high,300000,16,27,QF5_3
informedconset,I agree,17,0,Q0-1
probCat,0.01,17,1,QF1_1
probCat,0.1,17,2,QF1_2
probCat,0.19,17,3,QF1_3
probCat,0.2,17,4,QF1_4
probCat,0.2,17,5,QF1_5
probCat,0.2,17,6,QF1_6
probCat,0.1,17,7,QF1_7
probCat,0.1,17,8,QF2_1
probCat,0.2,17,9,QF2_2
probCat,0.2,17,10,QF2_3
probCat,0.1,17,11,QF2_4
probCat,0.1,17,12,QF2_5
probCat,0.1,17,13,QF2_6
probCat,0.2,17,14,QF2_7
probCat,0.05,17,15,QF3_1
probCat,0.05,17,16,QF3_2
probCat,0.3,17,17,QF3_3
probCat,0.3,17,18,QF3_4
probCat,0.3,17,19,QF3_5
probCat,0.2,17,20,QF4_1
probCat,0.5,17,21,QF4_2
probCat,0.1,17,22,QF4_3
probCat,0.1,17,23,QF4_4
probCat,0.1,17,24,QF4_5
triplet_low,150000,17,25,QF5_1
triplet_mode,600000,17,26,QF5_2
triplet_high,12000000,17,27,QF5_3
informedconset,I agree,19,0,Q0-1
probCat,0,19,1,QF1_1
probCat,0.05,19,2,QF1_2
probCat,0.2,19,3,QF1_3
probCat,0.5,19,4,QF1_4
probCat,0.2,19,5,QF1_5
probCat,0.05,19,6,QF1_6
probCat,0,19,7,QF1_7
probCat,0.25,19,8,QF2_1
probCat,0.25,19,9,QF2_2
probCat,0,19,10,QF2_3
probCat,0,19,11,QF2_4
probCat,0,19,12,QF2_5
probCat,0.25,19,13,QF2_6
probCat,0.25,19,14,QF2_7
probCat,0,19,15,QF3_1
probCat,0,19,16,QF3_2
probCat,0.2,19,17,QF3_3
probCat,0.4,19,18,QF3_4
probCat,0.4,19,19,QF3_5
probCat,0,19,20,QF4_1
probCat,0.1,19,21,QF4_2
probCat,0.6,19,22,QF4_3
probCat,0.2,19,23,QF4_4
probCat,0.1,19,24,QF4_5
triplet_low,250000,19,25,QF5_1
triplet_mode,300000,19,26,QF5_2
triplet_high,500000,19,27,QF5_3
informedconset,I agree,24,0,Q0-1
probCat,0,24,1,QF1_1
probCat,0.1,24,2,QF1_2
probCat,0.2,24,3,QF1_3
probCat,0.25,24,4,QF1_4
probCat,0.25,24,5,QF1_5
probCat,0.1,24,6,QF1_6
probCat,0.1,24,7,QF1_7
probCat,0.1,24,8,QF2_1
probCat,0.15,24,9,QF2_2
probCat,0.15,24,10,QF2_3
probCat,0.15,24,11,QF2_4
probCat,0.15,24,12,QF2_5
probCat,0.15,24,13,QF2_6
probCat,0.15,24,14,QF2_7
probCat,0.1,24,15,QF3_1
probCat,0.15,24,16,QF3_2
probCat,0.25,24,17,QF3_3
probCat,0.25,24,18,QF3_4
probCat,0.25,24,19,QF3_5
probCat,0.2,24,20,QF4_1
probCat,0.3,24,21,QF4_2
probCat,0.3,24,22,QF4_3
probCat,0.1,24,23,QF4_4
probCat,0.1,24,24,QF4_5
triplet_low,150000,24,25,QF5_1
triplet_mode,300000,24,26,QF5_2
triplet_high,800000,24,27,QF5_3
informedconset,I agree,26,0,Q0-1
probCat,0.01,26,1,QF1_1
probCat,0.01,26,2,QF1_2
probCat,0.08,26,3,QF1_3
probCat,0.1,26,4,QF1_4
probCat,0.4,26,5,QF1_5
probCat,0.3,26,6,QF1_6
probCat,0.1,26,7,QF1_7
probCat,0.1,26,8,QF2_1
probCat,0.2,26,9,QF2_2
probCat,0.3,26,10,QF2_3
probCat,0.3,26,11,QF2_4
probCat,0.08,26,12,QF2_5
probCat,0.01,26,13,QF2_6
probCat,0.01,26,14,QF2_7
probCat,0.001,26,15,QF3_1
probCat,0.004,26,16,QF3_2
probCat,0.295,26,17,QF3_3
probCat,0.5,26,18,QF3_4
probCat,0.2,26,19,QF3_5
probCat,0.2,26,20,QF4_1
probCat,0.5,26,21,QF4_2
probCat,0.2,26,22,QF4_3
probCat,0.07,26,23,QF4_4
probCat,0.03,26,24,QF4_5
triplet_low,140000,26,25,QF5_1
triplet_mode,180000,26,26,QF5_2
triplet_high,300000,26,27,QF5_3
informedconset,I agree,28,0,Q0-1
probCat,0.01,28,1,QF1_1
probCat,0.01,28,2,QF1_2
probCat,0.08,28,3,QF1_3
probCat,0.4,28,4,QF1_4
probCat,0.4,28,5,QF1_5
probCat,0.08,28,6,QF1_6
probCat,0.02,28,7,QF1_7
probCat,0.14,28,8,QF2_1
probCat,0.14,28,9,QF2_2
probCat,0.14,28,10,QF2_3
probCat,0.14,28,11,QF2_4
probCat,0.14,28,12,QF2_5
probCat,0.14,28,13,QF2_6
probCat,0.16,28,14,QF2_7
probCat,0.05,28,15,QF3_1
probCat,0.15,28,16,QF3_2
probCat,0.3,28,17,QF3_3
probCat,0.25,28,18,QF3_4
probCat,0.25,28,19,QF3_5
probCat,0.15,28,20,QF4_1
probCat,0.5,28,21,QF4_2
probCat,0.15,28,22,QF4_3
probCat,0.15,28,23,QF4_4
probCat,0.05,28,24,QF4_5
triplet_low,110000,28,25,QF5_1
triplet_mode,200000,28,26,QF5_2
triplet_high,800000,28,27,QF5_3
informedconset,I agree,29,0,Q0-1
probCat,0,29,1,QF1_1
probCat,0,29,2,QF1_2
probCat,0.05,29,3,QF1_3
probCat,0.2,29,4,QF1_4
probCat,0.5,29,5,QF1_5
probCat,0.25,29,6,QF1_6
probCat,0,29,7,QF1_7
probCat,,29,8,QF2_1
probCat,,29,9,QF2_2
probCat,,29,10,QF2_3
probCat,,29,11,QF2_4
probCat,,29,12,QF2_5
probCat,,29,13,QF2_6
probCat,,29,14,QF2_7
probCat,0.1,29,15,QF3_1
probCat,0.2,29,16,QF3_2
probCat,0.2,29,17,QF3_3
probCat,0.3,29,18,QF3_4
probCat,0.2,29,19,QF3_5
probCat,0.3,29,20,QF4_1
probCat,0.25,29,21,QF4_2
probCat,0.2,29,22,QF4_3
probCat,0.2,29,23,QF4_4
probCat,0.05,29,24,QF4_5
triplet_low,100000,29,25,QF5_1
triplet_mode,175000,29,26,QF5_2
triplet_high,250000,29,27,QF5_3
informedconset,I agree,30,0,Q0-1
probCat,0,30,1,QF1_1
probCat,0,30,2,QF1_2
probCat,0.2,30,3,QF1_3
probCat,0.2,30,4,QF1_4
probCat,0.3,30,5,QF1_5
probCat,0.2,30,6,QF1_6
probCat,0.1,30,7,QF1_7
probCat,0.4,30,8,QF2_1
probCat,0.3,30,9,QF2_2
probCat,0.3,30,10,QF2_3
probCat,0,30,11,QF2_4
probCat,0,30,12,QF2_5
probCat,0,30,13,QF2_6
probCat,0,30,14,QF2_7
probCat,0,30,15,QF3_1
probCat,0.3,30,16,QF3_2
probCat,0.4,30,17,QF3_3
probCat,0.3,30,18,QF3_4
probCat,0,30,19,QF3_5
probCat,0.4,30,20,QF4_1
probCat,0.4,30,21,QF4_2
probCat,0.2,30,22,QF4_3
probCat,0,30,23,QF4_4
probCat,0,30,24,QF4_5
triplet_low,130000,30,25,QF5_1
triplet_mode,200000,30,26,QF5_2
triplet_high,500000,30,27,QF5_3
informedconset,I agree,31,0,Q0-1
probCat,0.2,31,1,QF1_1
probCat,0.3,31,2,QF1_2
probCat,0.3,31,3,QF1_3
probCat,0.1,31,4,QF1_4
probCat,0.05,31,5,QF1_5
probCat,0.05,31,6,QF1_6
probCat,0,31,7,QF1_7
probCat,0.4,31,8,QF2_1
probCat,0.3,31,9,QF2_2
probCat,0.25,31,10,QF2_3
probCat,0.05,31,11,QF2_4
probCat,0,31,12,QF2_5
probCat,0,31,13,QF2_6
probCat,0,31,14,QF2_7
probCat,0.2,31,15,QF3_1
probCat,0.2,31,16,QF3_2
probCat,0.2,31,17,QF3_3
probCat,0.25,31,18,QF3_4
probCat,0.15,31,19,QF3_5
probCat,0.2,31,20,QF4_1
probCat,0.25,31,21,QF4_2
probCat,0.45,31,22,QF4_3
probCat,0.05,31,23,QF4_4
probCat,0.05,31,24,QF4_5
triplet_low,80000,31,25,QF5_1
triplet_mode,140000,31,26,QF5_2
triplet_high,450000,31,27,QF5_3
informedconset,I agree,33,0,Q0-1
probCat,0,33,1,QF1_1
probCat,0.005,33,2,QF1_2
probCat,0.19,33,3,QF1_3
probCat,0.4,33,4,QF1_4
probCat,0.3,33,5,QF1_5
probCat,0.1,33,6,QF1_6
probCat,0.005,33,7,QF1_7
probCat,0.28,33,8,QF2_1
probCat,0.15,33,9,QF2_2
probCat,0.04,33,10,QF2_3
probCat,0.04,33,11,QF2_4
probCat,0.04,33,12,QF2_5
probCat,0.15,33,13,QF2_6
probCat,0.3,33,14,QF2_7
probCat,0.1,33,15,QF3_1
probCat,0.2,33,16,QF3_2
probCat,0.2,33,17,QF3_3
probCat,0.2,33,18,QF3_4
probCat,0.3,33,19,QF3_5
probCat,0.1,33,20,QF4_1
probCat,0.25,33,21,QF4_2
probCat,0.25,33,22,QF4_3
probCat,0.25,33,23,QF4_4
probCat,0.15,33,24,QF4_5
triplet_low,90000,33,25,QF5_1
triplet_mode,125000,33,26,QF5_2
triplet_high,250000,33,27,QF5_3
informedconset,I agree,38,0,Q0-1
probCat,0.05,38,1,QF1_1
probCat,0.18,38,2,QF1_2
probCat,0.18,38,3,QF1_3
probCat,0.18,38,4,QF1_4
probCat,0.18,38,5,QF1_5
probCat,0.18,38,6,QF1_6
probCat,0.05,38,7,QF1_7
probCat,0.05,38,8,QF2_1
probCat,0.05,38,9,QF2_2
probCat,0.05,38,10,QF2_3
probCat,0.05,38,11,QF2_4
probCat,0.2,38,12,QF2_5
probCat,0.25,38,13,QF2_6
probCat,0.35,38,14,QF2_7
probCat,0.15,38,15,QF3_1
probCat,0.15,38,16,QF3_2
probCat,0.15,38,17,QF3_3
probCat,0.25,38,18,QF3_4
probCat,0.3,38,19,QF3_5
probCat,0.8,38,20,QF4_1
probCat,0.05,38,21,QF4_2
probCat,0.05,38,22,QF4_3
probCat,0.05,38,23,QF4_4
probCat,0.05,38,24,QF4_5
triplet_low,80000,38,25,QF5_1
triplet_mode,140000,38,26,QF5_2
triplet_high,180000,38,27,QF5_3
informedconset,I agree,40,0,Q0-1
probCat,0.01,40,1,QF1_1
probCat,0.01,40,2,QF1_2
probCat,0.03,40,3,QF1_3
probCat,0.2,40,4,QF1_4
probCat,0.4,40,5,QF1_5
probCat,0.2,40,6,QF1_6
probCat,0.15,40,7,QF1_7
probCat,0.23,40,8,QF2_1
probCat,0.17,40,9,QF2_2
probCat,0.1,40,10,QF2_3
probCat,0.1,40,11,QF2_4
probCat,0.1,40,12,QF2_5
probCat,0.15,40,13,QF2_6
probCat,0.15,40,14,QF2_7
probCat,0.05,40,15,QF3_1
probCat,0.05,40,16,QF3_2
probCat,0.2,40,17,QF3_3
probCat,0.3,40,18,QF3_4
probCat,0.4,40,19,QF3_5
probCat,0.45,40,20,QF4_1
probCat,0.25,40,21,QF4_2
probCat,0.15,40,22,QF4_3
probCat,0.1,40,23,QF4_4
probCat,0.05,40,24,QF4_5
triplet_low,80000,40,25,QF5_1
triplet_mode,300000,40,26,QF5_2
triplet_high,2500000,40,27,QF5_3
